acvite	acanthocheilonema_viteae	PRJEB1697
anceyl	ancylostoma_ceylanicum	PRJNA72583
assuum	ascaris_suum	PRJNA62057
brmala	brugia_malayi	PRJNA10729
brpaha	brugia_pahangi	PRJEB497
brtimo	brugia_timori	PRJEB4663
buxylo	bursaphelenchus_xylophilus	PRJEA64437
caeleg	caenorhabditis_elegans	PRJNA13758
diimmi	dirofilaria_immitis	PRJEB1797
drmedi	dracunculus_medinensis	PRJEB500
elelap	elaeophora_elaphi	PRJEB502
hacont	haemonchus_contortus	PRJEB506
hepoly	heligmosomoides_polygyrus	PRJEB15396
lisigm	litomosoides_sigmodontis	PRJEB3075
loloa	loa_loa	PRJNA246086
neamer	necator_americanus	PRJNA72135
onflex	onchocerca_flexuosa	PRJNA230512
onoche	onchocerca_ochengi	PRJEB1204
onvolv	onchocerca_volvulus	PRJEB513
paredi	panagrellus_redivivus	PRJNA186477
pauniv	parascaris_univalens	PRJNA386823
patric	parastrongyloides_trichosuri	PRJEB515
prpaci	pristionchus_pacificus	PRJNA12644
stcarp	steinernema_carpocapsae	PRJNA202318
stratt	strongyloides_ratti	PRJEB125
tocani	toxocara_canis	PRJNA248777
trspir	trichinella_spiralis	PRJNA12603
trmuri	trichuris_muris	PRJEB126
wubanc	wuchereria_bancrofti	PRJNA275548
